Country,FLW,BW,FW,LW,WW,MW,LHW,HW,WSW,WFYW,WBW,Total
Islamic Republic of Afghanistan,0,0,0,0,0,0,0,0,0,1,1,2
Angola,0,0,0,0,0,0,0,0,0,0,1,1
Albania,0,0,0,0,0,0,0,0,0,0,1,1
Argentina,0,0,0,0,0,0,0,1,1,2,1,5
Armenia,0,0,0,0,0,0,0,0,0,1,1,2
Australia,0,0,0,1,3,3,2,3,2,2,2,18
Austria,0,0,0,0,0,0,0,0,1,1,1,3
Azerbaijan,0,0,0,0,0,0,0,0,0,0,3,3
Bahrain,0,0,0,0,0,0,0,0,0,0,1,1
Belgium,0,0,0,0,0,0,0,0,0,0,1,1
Bolivia,0,0,0,0,0,0,0,0,0,0,1,1
Brazil,9,10,9,12,8,11,6,6,18,8,9,106
Canada,0,0,0,0,0,3,3,1,1,1,2,11
Chile,0,0,0,0,0,0,0,0,0,0,1,1
China,0,0,0,0,5,2,2,3,1,4,1,18
Cameroon,0,0,0,0,0,0,0,0,0,0,1,1
Croatia,0,0,0,0,0,0,0,0,0,0,1,1
Cuba,0,0,0,0,0,0,0,0,0,0,1,1
Czech Republic,0,0,0,0,0,0,0,0,0,1,1,2
Denmark,0,0,0,0,0,0,0,0,0,1,1,2
Dominican Republic,0,0,0,0,0,0,0,0,0,0,1,1
Ecuador,0,0,0,0,0,0,0,0,0,2,1,3
England,0,0,1,1,4,2,2,2,1,2,1,16
France,0,0,0,0,2,2,1,1,1,1,1,9
Georgia (country),0,0,0,0,0,0,0,0,2,1,1,4
Germany,0,0,0,0,0,0,0,0,2,1,1,4
Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,1,1
Egypt,0,0,0,0,0,0,0,0,0,0,1,1
Guam,0,0,0,0,0,0,0,0,0,0,1,1
Guyana,0,0,0,0,0,0,0,0,0,0,1,1
Iceland,0,0,0,0,0,0,0,0,0,0,1,1
India,0,0,0,0,0,0,0,0,0,1,1,2
Israel,0,0,0,0,0,0,0,0,0,0,1,1
Republic of Ireland,0,0,0,0,0,0,0,0,0,3,1,4
Iraq,0,0,0,0,0,0,0,0,0,0,1,1
Italy,0,0,0,0,0,0,0,0,0,1,1,2
Mongolia,0,0,0,0,0,0,0,0,0,0,1,1
Netherlands,0,0,0,0,0,0,0,0,0,0,1,1
New Zealand,0,0,0,0,0,0,0,0,1,2,2,5
Nigeria,0,0,0,0,0,0,0,1,2,1,1,5
Norway,0,0,0,0,0,0,0,0,0,0,1,1
Palestine,0,0,0,0,0,0,0,0,0,0,1,1
Panama,0,0,0,0,0,0,0,0,0,0,1,1
Peru,0,0,0,0,0,0,0,0,2,2,2,6
Poland,0,0,0,0,0,2,2,2,2,1,1,10
Portugal,0,0,0,0,0,0,0,0,0,1,1,2
Romania,0,0,0,0,0,0,0,0,0,1,1,2
Russia,0,1,3,1,2,2,7,2,3,1,3,25
Scotland,0,0,0,0,0,0,0,0,1,1,1,3
Serbia,0,0,0,0,0,0,0,0,0,1,1,2
Slovakia,0,0,0,0,0,0,0,0,0,0,1,1
South Africa,0,0,0,0,0,0,0,0,0,1,1,2
South Korea,0,0,0,0,0,0,2,2,3,1,1,9
Spain,0,0,0,0,0,0,0,0,0,1,2,3
Sweden,0,0,0,0,0,0,0,0,0,0,1,1
Switzerland,0,0,0,0,0,0,0,0,0,1,1,2
Tajikistan,0,0,0,0,0,0,0,0,1,1,2,4
Thailand,0,0,0,0,0,0,0,0,0,0,1,1
Turkey,0,0,0,0,0,0,0,0,0,0,1,1
Uganda,0,0,0,0,0,0,0,0,0,0,1,1
Ukraine,0,0,0,0,0,0,0,0,0,1,1,2
United Arab Emirates,0,0,0,0,0,0,0,0,0,1,1,2
United States,10,30,33,32,36,25,9,7,9,8,7,205
Uzbekistan,0,0,0,0,0,0,0,0,1,1,1,3
Venezuela,0,0,0,0,0,0,0,0,1,1,2,4
Vietnam,0,0,0,0,0,0,0,0,0,0,1,1
Wales,0,0,0,0,0,0,0,0,0,1,1,2
Zimbabwe,0,0,0,0,0,0,0,0,0,0,1,1
Total,42,78,71,90,75,65,38,30,44,29,27,589
